MACHO_Id,Amplitude,AndersonDarling,B_R,Beyond1Std,Bmean,CAR_sigma,CAR_tau,CAR_tmean,Con,Eta_B_R,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,LinearTrend,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Q31,Q31B_R,Rcs,Skew,SlottedA,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,autocor,automean,meanvariance,Psi_CS,Psi_eta,Class
11.9714.184,0.125,4.29389952,0.119377597,0.269724771,-5.732412844,-0.007515279,41.5134537,-0.138085665,0,1728.111126,1619.546297,0.14973262,0.267379679,0.401069519,0.56684492,0.770053476,-1.67E-05,26.18075191,0.0365,0.788990826,-0.233333333,-0.063388264,-0.032609643,562.5221981,6.12E-17,0.075,0.0705,0.133210551,0.076395074,4,3.307687937,0.063039555,0.3766836,0.746143363,0.700351791,0.234384819,2,-5.732412844,-0.010997037,0.128748708,1.730875181,4
11.9720.68,0.081,7.793254739,-0.060666426,0.365313653,-7.593619004,0.024887265,6.153326713,-1.234067255,0,1503.881589,231.6317643,0.193103448,0.344827586,0.510344828,0.662068966,0.834482759,2.08E-06,5.413598962,0.0355,0.375461255,-0.033333333,-0.019014409,-0.019080203,1087.542916,2.66E-110,0.074,0.027,0.299827503,0.298902315,168,-0.64546684,0.046284692,0.686530321,0.841374581,0.810714181,0.533428428,59,-7.593619004,-0.006095209,0.308822135,0.577513364,4
12.10561.1161,0.1545,2.171033766,-0.126971814,0.314835787,-6.313527746,-0.003937604,1077.583888,-0.005858966,0.002270148,3902.481629,1125.378889,0.134099617,0.268199234,0.413793103,0.578544061,0.819923372,4.31E-05,14.72851175,0.053,0.580973952,-0.033333333,-0.055590751,-0.041336712,2718.828704,3.96E-109,0.1075,0.0705,0.337498839,0.073422223,344,0.590231644,0.082447843,0.616140059,0.780177974,0.903365165,0.416380833,105,-6.313527746,-0.013058918,0.337498839,0.623443045,4
12.10684.267,0.15225,5.908897891,-0.068945987,0.244318182,-5.923314773,-0.423938484,0.066122278,-89.58122644,0,474.3052163,2481.112187,0.165991903,0.299595142,0.433198381,0.599190283,0.79757085,-6.48E-05,30.98145632,0.054,0.636363636,-0.033333333,-0.077792778,-0.041680729,4078.243056,1.75E-62,0.10625,0.134,0.30096214,1.060445838,160,3.201194272,0.083763831,0.565449758,0.760962343,0.849024386,0.426752719,24,-5.923314773,-0.014141378,0.30096214,1.174819376,4
12.10926.76,0.06,2.222684175,-0.092546711,0.316397229,-7.125772517,-0.008075114,31.00201245,-0.229848708,0,8254.972673,2757.382164,0.188118812,0.346534653,0.485148515,0.633663366,0.821782178,-1.19E-07,16.31163415,0.024,0.697459584,-0.166666667,-0.033408198,-0.014177428,2718.828704,4.38E-85,0.049,0.042,0.333743475,-0.404054648,204,2.26350142,0.034059996,0.520730992,0.806128803,0.866419258,0.15211172,44,-7.125772517,-0.004779832,0.333743475,0.730272419,4
13.6689.2365,0.15,16.08089502,-0.281022598,0.255789474,-6.627601053,-0.020263973,33.61604423,-0.197155888,0.020042194,2542.260372,7071.034293,0.144444444,0.262962963,0.374074074,0.544444444,0.811111111,8.36E-05,72.83420032,0.049,0.645263158,-0.033333333,-0.059160018,-0.040644287,16036.73813,1.21E-121,0.1005,0.05075,0.34352949,0.616239098,420,0.645535956,0.08174144,0.598274443,0.790400413,0.863258638,0.410212968,114,-6.627601053,-0.012333488,0.34352949,0.423635571,4
13.6931.2479,0.1005,23.32161788,-0.325971565,0.238541667,-6.893553125,-0.014771724,25.03870525,-0.275315878,0.003131524,2152.784897,924.0217047,0.172222222,0.305555556,0.422222222,0.611111111,0.838888889,-4.28E-05,14.70255599,0.034,0.522916667,0.033333333,-0.030675734,-0.026045435,3280.502264,2.26E-87,0.076,0.047,0.35495606,0.82246783,392,0.040709226,0.05732529,0.558986739,0.818785838,0.915906267,0.414988238,133,-6.893553125,-0.008315783,0.35495606,0.486476231,4
14.8493.39,0.14,39.75799612,-0.235573992,0.307692308,-7.833938883,-0.015219154,66.84985566,-0.117187073,0,213.746889,23.74190963,0.236641221,0.461832061,0.63740458,0.790076336,0.893129771,-7.86E-05,2.836569931,0.059,0.308746048,-0.1,-0.033926302,-0.033290978,2717.699109,8.69E-155,0.167,0.04,0.444513407,0.498901086,488,-1.207571675,0.091620894,0.794767088,0.894908346,0.892419859,0.719898629,178,-7.833938883,-0.01169538,0.444513407,0.100777845,4
14.8622.3551,0.1025,20.00695032,-0.497348649,0.245502646,-6.808910053,-0.005190256,162.6069731,-0.04187342,0.015906681,1096.297363,746.0283162,0.131428571,0.211428571,0.325714286,0.52,0.777142857,2.94E-05,10.49151422,0.028,0.706878307,0.033333333,-0.035043988,-0.025659824,2712.707928,2.35E-72,0.057,0.049,0.329324487,0.73663026,256,1.522741661,0.053886431,0.485784744,0.755801977,0.877222809,0.337978318,79,-6.808910053,-0.007914105,0.329324487,0.576750688,4
14.8863.660,0.132,11.52628398,-0.260269398,0.316737288,-6.788524364,-0.020505634,23.28040616,-0.291598193,0.001061571,2390.816592,506.7522052,0.148471616,0.279475983,0.454148472,0.633187773,0.816593886,7.39E-05,12.41593378,0.045,0.527542373,0.1,-0.04842758,-0.033810719,5435.398218,7.99E-132,0.104,0.072,0.372110185,-0.547137557,404,-0.031463021,0.072472975,0.721305427,0.814942145,0.880648871,0.606026261,168,-6.788524364,-0.010675807,0.372110185,0.419643117,4
14.9587.87,0.107,1.510683355,-0.1668401,0.301927195,-7.307049251,-0.034590156,4.8535684,-1.505500417,0,5540.127313,321.512487,0.16091954,0.281609195,0.425287356,0.586206897,0.775862069,-1.55E-05,8.691153643,0.036,0.561027837,-0.033333333,-0.038303694,-0.02380301,582.3640948,4.08E-29,0.074,0.0355,0.219908199,0.461849706,84,1.329888013,0.055436498,0.594469795,0.784550795,0.743886508,0.41039742,22,-7.307049251,-0.007586715,0.229411313,1.345239873,4
17.2102.357,0.1645,10.24374679,-0.471827025,0.220302376,-5.642367171,-0.008203411,166.7258418,-0.033842187,0.017353579,1006.834062,226.1913366,0.129032258,0.213709677,0.326612903,0.491935484,0.745967742,-3.41E-05,4.286036549,0.039,0.784017279,-0.033333333,-0.080947331,-0.043831743,2722.812141,3.53E-30,0.08,0.0705,0.281796992,0.512556846,4,3.911322392,0.081391059,0.365468993,0.725034907,0.842784497,0.214905086,21,-5.642367171,-0.014424985,0.281796992,1.043360892,4
17.2105.71,0.0775,2.030286831,-0.279375536,0.336909871,-7.070414163,0.005945043,91.77474905,-0.077040953,0,1006.834062,146.5855218,0.215384615,0.353846154,0.492307692,0.630769231,0.823076923,5.26E-06,0.926569377,0.031,0.418454936,-0.1,-0.018806561,-0.018382353,2332.957659,2.82E-67,0.0635,0.0705,0.396321443,0.182776463,392,-0.211556598,0.0420105,0.365468993,0.829466318,0.887193471,0.214905086,47,-7.070414163,-0.005941731,0.396321443,0.474305034,4
17.2108.72,0.072,2.195446343,-0.191851071,0.344017094,-7.374641026,0.009902757,36.68910312,-0.201003579,0,2366.106746,258.0363848,0.216,0.368,0.52,0.688,0.848,-8.44E-06,1.930352869,0.0315,0.427350427,-0.1,-0.02204436,-0.0169572,1484.609419,2.02E-44,0.065,0.02775,0.3302638,0.151981043,216,-0.210730236,0.041597884,0.681992572,0.837197942,0.910886228,0.590772615,41,-7.374641026,-0.005640666,0.3302638,0.538179376,4
17.2109.108,0.1585,4.855279939,-0.376067534,0.253218884,-7.235793991,-0.01764469,35.71689723,-0.202587418,0.032327586,527.8477372,96.62795485,0.143382353,0.253676471,0.334558824,0.463235294,0.672794118,4.71E-05,1.579066097,0.0455,0.448497854,0.166666667,-0.033557047,-0.037639244,2721.783935,1.03E-58,0.09075,0.0545,0.362892695,-0.697600174,220,0.486871293,0.07571196,0.600824855,0.778490448,0.867868729,0.380946811,59,-7.235793991,-0.010463532,0.362892695,0.31173543,4
17.2469.222,0.123,11.22425261,-0.32344084,0.294372294,-6.42458658,-0.900388569,0.009788399,-656.347055,0.002173913,905.7211836,9476.185646,0.117370892,0.225352113,0.44600939,0.65258216,0.835680751,-2.50E-05,24.50241254,0.036,0.640692641,0.033333333,-0.056961043,-0.033059134,2333.838978,1.69E-48,0.09475,0.07725,0.353956717,0.148381572,264,1.373601695,0.069671586,0.501639113,0.794868283,0.889469337,0.393578346,53,-6.42458658,-0.010844524,0.353956717,0.6781836,4
17.3076.164,0.225,8.522472938,-0.483977812,0.36673774,-6.737660981,-0.004427481,1138.950196,-0.005915677,0,2536.031831,94.59845204,0.240310078,0.465116279,0.643410853,0.775193798,0.904392765,1.46E-04,4.028146033,0.114,0.430703625,-0.166666667,-0.071599045,-0.05772673,3267.374569,1.65E-74,0.249,0.083,0.423824921,-0.157051763,412,-0.640113505,0.139465803,0.735756796,0.867076359,0.895964806,0.614255988,108,-6.737660981,-0.020699439,0.423824921,0.313019243,4
18.2483.95,0.0865,5.991884297,-0.191991252,0.336486486,-7.216490541,-0.0119835,27.0477386,-0.266805689,0.001355014,4057.874317,1864.329306,0.152317881,0.278145695,0.470198675,0.662251656,0.841059603,3.07E-05,15.09024558,0.034,0.578378378,0.033333333,-0.029757785,-0.020899654,2329.567094,3.49E-81,0.07125,0.0295,0.355864105,0.429679031,348,0.428402884,0.049955939,0.655516691,0.802274107,0.865933581,0.502049523,103,-7.216490541,-0.00692247,0.355864105,0.559800792,4
18.3445.4646,0.1625,17.98148739,-0.380193882,0.268156425,-6.13223324,0.01009749,104.0098581,-0.058958193,0,149.3424511,104.9844493,0.147169811,0.290566038,0.426415094,0.633962264,0.79245283,-6.57E-05,3.589555992,0.048,0.601955307,0.033333333,-0.049853849,-0.043033452,3267.393167,9.36E-56,0.113,0.073,0.351082466,0.728094043,172,0.314896634,0.086253767,0.51255992,0.812637399,0.881726486,0.36596556,89,-6.13223324,-0.014065637,0.351082466,0.664674167,4
18.3446.4192,0.1925,50.63681081,-0.429995174,0.284731774,-7.765181568,-0.017225163,101.3182976,-0.076641453,0,108.0965344,42.32391921,0.136111111,0.341666667,0.661111111,0.819444444,0.913888889,-1.44E-04,5.738414895,0.051,0.510316369,-0.166666667,-0.04789272,-0.045977011,4084.241459,1.06E-125,0.235,0.059,0.433232278,0.749853836,436,-0.998675496,0.129596687,0.799657886,0.878554645,0.912440643,0.660541614,155,-7.765181568,-0.01668946,0.433232278,0.075857583,4
19.3574.89,0.1495,52.22555503,-0.42176858,0.281053952,-7.266297365,-0.014543478,118.1813069,-0.061484321,0.010062893,1624.556189,59.40382103,0.145454545,0.287272727,0.56,0.741818182,0.88,1.10E-04,3.684519678,0.036,0.553324969,0.166666667,-0.044447484,-0.037609409,4057.123994,1.65E-124,0.154,0.033,0.419649374,0.869361224,656,-0.658598647,0.094015593,0.798604098,0.861526176,0.861439706,0.62918392,153,-7.266297365,-0.012938583,0.419649374,0.124055444,4
19.3817.109,0.1445,29.81963808,-0.431147915,0.295918367,-7.040307398,-0.020683233,40.6264678,-0.173293613,0.007672634,8073.490454,57.45352086,0.143968872,0.342412451,0.505836576,0.649805447,0.848249027,8.46E-05,2.488124858,0.046,0.49744898,0.033333333,-0.049208145,-0.036340498,3267.249625,9.15E-107,0.12925,0.0345,0.41150413,0.902496633,460,-0.036293337,0.08529607,0.806821192,0.842887545,0.879979475,0.663778191,131,-7.040307398,-0.01211539,0.41150413,0.218243395,4
19.4306.88,0.13475,15.7286777,0.084207875,0.358302122,-6.705565543,-0.007429333,264.2069481,-0.025379974,0,1818.412547,323.5031547,0.12987013,0.264069264,0.463203463,0.692640693,0.865800866,7.26E-05,8.025808481,0.044,0.649188514,-0.1,-0.066646831,-0.034364772,2722.708021,5.46E-89,0.107,0.033,0.367399895,0.161656863,432,0.980219538,0.076494864,0.697435425,0.802305318,0.880445671,0.557497547,119,-6.705565543,-0.011407668,0.367399895,0.415376378,4
206.16717.81,0.10875,7.833777641,-0.32268179,0.386680988,-8.014082707,-0.010505363,75.40989339,-0.106273625,0,17.21446178,3.898854179,0.21025641,0.358974359,0.553846154,0.692307692,0.876923077,-4.86E-05,0.844166807,0.052,0.313641246,-0.233333333,-0.020843734,-0.024338492,1243.21179,1.17E-73,0.108,0.045,0.357441102,0.084425839,232,-0.977899128,0.063099232,0.779194488,0.849994147,0.886178737,0.671861274,110,-8.014082707,-0.007873544,0.3560935,0.142437611,4
206.16943.1467,0.085,6.336319531,-0.458781267,0.231351351,-6.892513514,-0.014066874,12.52950197,-0.550102752,0.001083424,46.966478,55.8350868,0.161538462,0.269230769,0.392307692,0.538461538,0.769230769,4.46E-05,2.512963701,0.026,0.825945946,-0.033333333,-0.048773407,-0.018870663,16161.75326,1.71E-82,0.051,0.092,0.281854948,-0.651644205,136,5.158297202,0.044629103,0.503783218,0.736450917,0.862641946,0.337460631,52,-6.892513514,-0.006475011,0.281854948,1.001731528,4
206.17003.54,0.1815,10.25215811,-0.038974597,0.311886587,-8.326376227,-0.029013257,26.12164423,-0.31875391,0.002185792,564.8621804,12.64000573,0.222910217,0.362229102,0.513931889,0.684210526,0.848297214,-1.25E-04,2.277236652,0.08,0.275899673,-0.033333333,-0.03225033,-0.038724374,4040.438316,6.91E-127,0.166,0.034,0.404820105,0.342744717,452,-0.855383733,0.104082129,0.817693987,0.854895413,0.851841627,0.703458585,169,-8.326376227,-0.012500291,0.404820105,0.185218241,4
207.16253.210,0.137,6.780930727,0.469385783,0.323915237,-6.604448032,-0.006176484,249.4793928,-0.02647292,0,75.60449437,29.26609467,0.207964602,0.371681416,0.53539823,0.685840708,0.840707965,4.88E-05,3.420319229,0.059,0.691220989,-0.033333333,-0.082388511,-0.034164777,2306.407332,3.90E-129,0.121,0.036,0.379965603,-0.116599544,380,1.941493017,0.078145515,0.748371769,0.822655654,0.888437711,0.642182304,142,-6.604448032,-0.011832255,0.379965603,0.509539385,4
207.16256.307,0.213,2.688816089,-0.066510366,0.287799791,-6.681160584,-0.017592554,68.97267824,-0.09686677,0.036572623,176.1223687,21.53994048,0.119883041,0.236842105,0.350877193,0.51754386,0.719298246,3.16E-05,3.355497458,0.061,0.484880083,-0.233333333,-0.046292135,-0.051235955,2306.407332,6.65E-67,0.1195,0.044,0.282819459,-0.376147073,100,0.469744511,0.099634103,0.670897097,0.771200818,0.757105598,0.452632603,43,-6.681160584,-0.014912694,0.282819459,0.29332602,4
207.16259.243,0.26475,34.89916001,-0.496291481,0.309760956,-7.331644422,-0.012297706,467.0523017,-0.015697695,0,13.4981189,5.618399314,0.174950298,0.37972167,0.610337972,0.844930417,0.934393638,2.11E-04,3.68183838,0.1195,0.338645418,0.033333333,-0.065168843,-0.068078771,2690.808554,3.45E-194,0.3065,0.091,0.431441953,0.478906674,532,-1.154623546,0.175020716,0.798526005,0.870328542,0.87034903,0.647167315,219,-7.331644422,-0.023871959,0.431441953,0.044416334,4
207.16309.362,0.1175,12.1745685,-0.478270418,0.218218218,-6.943047047,0.0033394,91.75389635,-0.075670324,0,50.39681804,150.1288345,0.10982659,0.208092486,0.317919075,0.456647399,0.693641618,-3.52E-07,5.014917794,0.026,0.788788789,-0.033333333,-0.046411069,-0.02493514,2018.106416,1.54E-11,0.054,0.096,0.129837185,-0.404282138,4,3.432424648,0.054520981,0.221946597,0.710010381,0.67149465,0.137704101,2,-6.943047047,-0.007852601,0.129837185,1.660891886,4
207.16369.202,0.093,11.76814821,-0.520945898,0.399796541,-7.530067141,-0.007583161,85.76258121,-0.087801312,0,124.5524241,32.60938871,0.248447205,0.428571429,0.571428571,0.726708075,0.869565217,-2.68E-05,1.482182926,0.045,0.299084435,-0.033333333,-0.020600744,-0.021398192,2018.106416,4.89E-167,0.092,0.042,0.419753343,-0.085807257,376,-1.005802243,0.053930474,0.798035862,0.866940643,0.887771296,0.734179786,149,-7.530067141,-0.007162018,0.419753343,0.271374711,4
207.16370.107,0.166,0.677991358,0.706035963,0.307535642,-6.905227088,-0.01727272,39.66883006,-0.174071861,0.017346939,137.433991,14.85912948,0.161870504,0.241007194,0.377697842,0.543165468,0.773381295,-3.81E-05,2.153534329,0.0525,0.518329939,0.033333333,-0.040701043,-0.040266512,733.8568784,1.15E-61,0.105,0.0365,0.210818473,-0.08466912,136,0.058672104,0.083031442,0.721952055,0.79117464,0.786018967,0.526048264,52,-6.905227088,-0.012024433,0.266223651,0.845487124,4
207.16483.111,0.095,62.11968393,-0.170480014,0.20795107,-7.922277268,-0.009803806,50.12020317,-0.158065546,0.045965271,7.724853412,4.610846967,0.098765432,0.197530864,0.388888889,0.567901235,0.777777778,-6.28E-05,0.913707741,0.018,0.731906218,-0.233333333,-0.035242291,-0.020390183,3584.588039,1.33E-130,0.063,0.055,0.381507853,1.366263856,400,1.720492163,0.053582185,0.656882997,0.787892851,0.89711054,0.412824759,163,-7.922277268,-0.006763483,0.381507853,0.234759407,4
208.15912.448,0.223,7.708508702,0.689526213,0.238716148,-5.484275827,-0.00607393,208.1097466,-0.026352806,0,5411.751938,3531.977053,0.123563218,0.232758621,0.359195402,0.497126437,0.724137931,5.19E-05,60.16738297,0.062,0.828485456,0.1,-0.131252282,-0.063526835,651.7442234,4.46E-29,0.125,0.092,0.203408993,-0.596050733,4,4.596847249,0.112304899,0.43700432,0.722792497,0.747584614,0.267673126,2,-5.484275827,-0.020477617,0.140229045,1.583284015,4
211.16249.191,0.1795,9.098139878,-0.179212406,0.243154436,-7.226727273,-0.914231478,0.014966533,-482.8591285,0.001097695,6229.648771,507.1641736,0.174216028,0.306620209,0.445993031,0.585365854,0.766550523,-1.06E-04,20.48972342,0.06,0.802847755,0.033333333,-0.086152147,-0.039624465,4036.221215,2.31E-101,0.128,0.055,0.335449661,0.3385506,432,3.035645834,0.096562966,0.658416524,0.777383062,0.898812479,0.454589972,123,-7.226727273,-0.013361922,0.335449661,0.792599601,4
211.16301.73,0.1225,26.22782108,-0.465115422,0.222100656,-7.653897155,-0.004279882,549.9807794,-0.013916663,0.00877193,1484.731817,137.6551256,0.200892857,0.321428571,0.446428571,0.580357143,0.834821429,-8.93E-05,5.233443289,0.041,0.50547046,0.033333333,-0.035039729,-0.029178064,3228.976972,1.45E-144,0.09975,0.038,0.398934075,0.82629951,440,-0.119281231,0.070253918,0.775194196,0.828336659,0.910703943,0.547844572,187,-7.653897155,-0.009178843,0.398934075,0.19232195,4
211.16419.222,0.205,12.79812559,0.421679132,0.236343367,-6.199351171,-0.010480956,169.0776182,-0.036665712,0.020111732,3227.697527,382.3519024,0.109375,0.203125,0.315625,0.44375,0.659375,1.17E-05,15.24174826,0.048,0.72909699,0.166666667,-0.084835802,-0.0515132,0.997651856,3.14E-37,0.101,0.064,0.245911397,0.917341467,64,2.632297069,0.095630854,0.514160484,0.727714884,0.741138266,0.283401631,24,-6.199351171,-0.015425946,0.123587471,1.38650936,4
211.16538.130,0.08825,3.691933587,-0.371739478,0.317045455,-7.733559091,-0.008596646,61.3414154,-0.126074024,0,588.5998367,100.7780912,0.15483871,0.303225806,0.44516129,0.606451613,0.825806452,-6.42E-05,3.41555977,0.034,0.378409091,-0.033333333,-0.018738692,-0.020031016,14308.32292,6.16E-145,0.069,0.031,0.383545454,0.34626568,460,-0.50020842,0.047483166,0.631862885,0.820307246,0.880245478,0.468649043,168,-7.733559091,-0.006139885,0.383545454,0.287745477,4
211.16591.58,0.15125,2.538595817,1.063146195,0.296996663,-6.68271079,-0.032349269,9.204878632,-0.725996622,0.002229654,971.4337195,1036.848079,0.137651822,0.230769231,0.356275304,0.534412955,0.712550607,-1.25E-05,22.34222073,0.043,0.57730812,0.033333333,-0.041292639,-0.03695392,2306.412123,7.13E-42,0.087,0.0665,0.234204589,0.320353412,32,0.974466241,0.074151326,0.513606494,0.764603407,0.823411515,0.360665922,11,-6.68271079,-0.011095995,0.234204589,0.802950775,4
211.16766.157,0.2385,21.48402219,-0.508194594,0.36043956,-7.451318681,-0.017163456,130.7858765,-0.05697342,0,20665.6823,293.3969608,0.2004662,0.405594406,0.603729604,0.743589744,0.888111888,1.73E-04,16.11266176,0.097,0.578021978,-0.1,-0.101012829,-0.057933828,3228.976972,2.86E-123,0.25875,0.079,0.380667022,-0.533298568,448,-0.018523111,0.152327523,0.761925593,0.84846286,0.87324568,0.711293384,175,-7.451318681,-0.020443029,0.380667022,0.507965481,4
211.16816.33,0.12325,2.699202163,-0.486634198,0.300111982,-6.955054871,-0.016433835,25.64622733,-0.271192124,0.004489338,1150.538961,86.16868494,0.21025641,0.353846154,0.482051282,0.630769231,0.825641026,-2.10E-05,4.792440096,0.048,0.649496081,-0.033333333,-0.045735654,-0.028045448,2018.110607,9.65E-108,0.094,0.049,0.378021871,0.268530126,300,0.988893021,0.065967876,0.618670743,0.805311909,0.900734219,0.430836454,108,-6.955054871,-0.009484882,0.378021871,0.478934284,4
212.15675.121,0.11175,16.66664076,-0.041930929,0.289970209,-7.418997021,-0.015478002,34.84792609,-0.212896372,0.002985075,136.2697284,363.2053884,0.235,0.38,0.525,0.67,0.84,-8.46E-05,11.56142802,0.046,0.514399206,0.233333333,-0.032292788,-0.026910657,4036.167206,3.67E-154,0.105,0.032,0.400255309,0.427627388,452,-0.305453902,0.066240309,0.815650836,0.845516493,0.895557303,0.711501238,209,-7.418997021,-0.008928472,0.400255309,0.360721125,4
